date,time,temperature,weather,wind_speed,wind_direction,humidity,barometer,visibility
20190101,00:00,4,Passing clouds,17,Wind blowing from 350° North to South,75%,1037,N/A
20190101,00:30,4,Passing clouds,17,Wind blowing from 0° North to South,75%,1038,N/A
20190101,01:00,4,Passing clouds,13,Wind blowing from 0° North to South,75%,1037,N/A
20190101,01:30,4,Passing clouds,17,Wind blowing from 0° North to South,75%,1038,N/A
20190101,02:00,4,Passing clouds,17,Wind blowing from 0° North to South,70%,1038,N/A
20190101,02:30,4,Passing clouds,17,Wind blowing from 0° North to South,70%,1037,N/A
20190101,03:00,4,Passing clouds,17,Wind blowing from 0° North to South,70%,1037,N/A
20190101,03:30,4,Passing clouds,17,Wind blowing from 350° North to South,70%,1037,N/A
20190101,04:00,3,Passing clouds,17,Wind blowing from 0° North to South,75%,1037,N/A
20190101,04:30,3,Passing clouds,17,Wind blowing from 0° North to South,75%,1037,N/A
20190101,05:00,3,Passing clouds,20,Wind blowing from 0° North to South,75%,1037,N/A
20190101,05:30,3,Passing clouds,17,Wind blowing from 0° North to South,70%,1037,N/A
20190101,06:00,3,Passing clouds,24,Wind blowing from 0° North to South,70%,1037,N/A
20190101,06:30,3,Passing clouds,24,Wind blowing from 10° North to South,70%,1037,N/A
20190101,07:00,3,Overcast,17,Wind blowing from 10° North to South,70%,1038,N/A
20190101,07:30,3,Overcast,20,Wind blowing from 10° North to South,70%,1038,N/A
20190101,08:00,3,Overcast,17,Wind blowing from 350° North to South,70%,1039,N/A
20190101,08:30,3,Overcast,20,Wind blowing from 0° North to South,70%,1039,N/A
20190101,09:00,3,Sunny,20,Wind blowing from 0° North to South,60%,1039,16
20190101,09:30,4,Sunny,24,Wind blowing from 350° North to South,56%,1039,16
20190101,10:00,4,Sunny,20,Wind blowing from 10° North to South,56%,1039,16
20190101,10:30,4,Sunny,20,Wind blowing from 0° North to South,56%,1039,16
20190101,11:00,4,Sunny,20,Wind blowing from 340° North-northwest to South-southeast,52%,1038,16
20190101,11:30,4,Sunny,17,Wind blowing from 340° North-northwest to South-southeast,52%,1037,16
20190101,12:00,4,Sunny,20,Wind blowing from 340° North-northwest to South-southeast,52%,1037,16
20190101,12:30,5,Passing clouds,13,Wind blowing from 350° North to South,53%,1036,N/A
20190101,13:00,5,Passing clouds,17,Wind blowing from 350° North to South,53%,1036,N/A
20190101,13:30,5,Passing clouds,17,Wind blowing from 330° North-northwest to South-southeast,49%,1036,N/A
20190101,14:00,5,Sunny,13,Wind blowing from 350° North to South,49%,1036,16
20190101,14:30,5,Passing clouds,13,Wind blowing from 330° North-northwest to South-southeast,53%,1036,N/A
20190101,15:00,5,Passing clouds,9,Wind blowing from 350° North to South,53%,1036,N/A
20190101,15:30,5,Sunny,13,Wind blowing from 0° North to South,53%,1036,16
20190101,16:00,5,Passing clouds,13,Wind blowing from 0° North to South,49%,1036,N/A
20190101,16:30,5,Sunny,17,Wind blowing from 0° North to South,53%,1036,16
20190101,17:00,4,Scattered clouds,17,Wind blowing from 0° North to South,56%,1036,N/A
20190101,17:30,4,Passing clouds,17,Wind blowing from 10° North to South,56%,1036,N/A
20190101,18:00,4,Passing clouds,17,Wind blowing from 40° Northeast to Southwest,61%,1036,N/A
20190101,18:30,3,Passing clouds,17,Wind blowing from 30° North-northeast to South-southwest,65%,1037,N/A
20190101,19:00,3,Clear,17,Wind blowing from 40° Northeast to Southwest,65%,1037,16
20190101,19:30,3,Clear,13,Wind blowing from 40° Northeast to Southwest,60%,1037,16
20190101,20:00,2,Clear,13,Wind blowing from 20° North-northeast to South-southwest,65%,1037,16
20190101,20:30,2,Clear,9,Wind blowing from 0° North to South,65%,1038,16
20190101,21:00,2,Clear,13,Wind blowing from 0° North to South,65%,1037,16
20190101,21:30,2,Clear,9,Wind blowing from 10° North to South,70%,1037,16
20190101,22:00,1,Clear,9,Wind blowing from 0° North to South,75%,1038,16
20190101,22:30,2,Clear,9,Wind blowing from 20° North-northeast to South-southwest,70%,1037,16
20190101,23:00,2,Clear,9,Wind blowing from 10° North to South,70%,1037,16
20190101,23:30,2,Clear,13,Wind blowing from 10° North to South,70%,1037,16
20190102,00:00,2,Clear,9,Wind blowing from 0° North to South,70%,1037,16
20190102,00:30,3,Clear,6,Wind blowing from 350° North to South,65%,1037,16
20190102,01:00,3,Clear,9,Wind blowing from 330° North-northwest to South-southeast,65%,1038,16
20190102,01:30,3,Clear,13,Wind blowing from 340° North-northwest to South-southeast,65%,1038,16
20190102,02:00,3,Clear,13,Wind blowing from 320° Northwest to Southeast,65%,1037,16
20190102,02:30,3,Clear,9,Wind blowing from 330° North-northwest to South-southeast,65%,1037,16
20190102,03:00,2,Clear,9,Wind blowing from 330° North-northwest to South-southeast,70%,1037,16
20190102,03:30,2,Clear,9,Wind blowing from 340° North-northwest to South-southeast,70%,1037,16
20190102,04:00,2,Clear,9,Wind blowing from 330° North-northwest to South-southeast,75%,1037,16
20190102,04:30,2,Clear,9,Wind blowing from 330° North-northwest to South-southeast,75%,1037,16
20190102,05:00,2,Clear,6,Wind blowing from 330° North-northwest to South-southeast,75%,1037,16
20190102,05:30,2,Clear,2,Wind blowing from 330° North-northwest to South-southeast,75%,1037,16
20190102,06:00,3,Clear,2,Wind blowing from 0° North to South,70%,1037,16
20190102,06:30,2,Clear,6,Wind blowing from 340° North-northwest to South-southeast,75%,1037,16
20190102,07:00,3,Sunny,9,Wind blowing from 350° North to South,65%,1037,16
20190102,07:30,3,Sunny,9,Wind blowing from 0° North to South,65%,1037,16
20190102,08:00,3,Sunny,17,Wind blowing from 0° North to South,70%,1037,16
20190102,08:30,3,Sunny,13,Wind blowing from 0° North to South,65%,1037,16
20190102,09:00,4,Sunny,17,Wind blowing from 0° North to South,61%,1037,16
20190102,09:30,4,Sunny,17,Wind blowing from 30° North-northeast to South-southwest,65%,1037,16
20190102,10:00,5,Passing clouds,13,Wind blowing from 10° North to South,61%,1037,N/A
20190102,10:30,5,Sunny,13,Wind blowing from 10° North to South,61%,1036,16
20190102,11:30,5,Passing clouds,13,Wind blowing from 10° North to South,61%,1035,N/A
20190102,12:00,5,Sunny,9,Wind blowing from 20° North-northeast to South-southwest,66%,1035,16
20190102,12:30,6,Clear,13,Wind blowing from 0° North to South,61%,1034,8
20190102,13:00,7,Clear,13,Wind blowing from 10° North to South,53%,1034,8
20190102,13:30,6,Clear,13,Wind blowing from 50° Northeast to Southwest,57%,1034,8
20190102,14:00,6,Scattered clouds,13,Wind blowing from 20° North-northeast to South-southwest,57%,1034,8
20190102,14:30,6,Scattered clouds,13,Wind blowing from 50° Northeast to Southwest,61%,1034,8
20190102,15:00,6,Partly sunny,13,Wind blowing from 50° Northeast to Southwest,57%,1034,8
20190102,15:30,6,Partly sunny,13,Wind blowing from 10° North to South,61%,1034,8
20190102,16:00,6,Partly sunny,9,Wind blowing from 0° North to South,61%,1034,8
20190102,16:30,6,Partly sunny,13,Wind blowing from 20° North-northeast to South-southwest,61%,1034,8
20190102,17:00,6,Partly sunny,9,Wind blowing from 40° Northeast to Southwest,57%,1035,8
20190102,17:30,6,Passing clouds,13,Wind blowing from 30° North-northeast to South-southwest,57%,1035,8
20190102,18:00,6,Overcast,9,Wind blowing from 50° Northeast to Southwest,57%,1035,N/A
20190102,18:30,6,Overcast,9,Wind blowing from 50° Northeast to Southwest,57%,1035,N/A
20190102,19:00,6,Overcast,13,Wind blowing from 60° East-northeast to West-southwest,57%,1035,N/A
20190102,19:30,6,Overcast,13,Wind blowing from 50° Northeast to Southwest,57%,1035,N/A
20190102,20:00,6,Overcast,13,Wind blowing from 50° Northeast to Southwest,57%,1035,N/A
20190102,20:30,6,Overcast,13,Wind blowing from 50° Northeast to Southwest,57%,1035,N/A
