date,time,temperature,weather,wind_speed,wind_direction,humidity,barometer,visibility
20210101,09:00,0,Sunny,6,Wind blowing from 0° North to South,51%,1033,16
20210101,09:30,0,Passing clouds,9,Wind blowing from 220° Southwest to Northeast,47%,1033,N/A
20210101,10:00,0,Passing clouds,9,Wind blowing from 240° West-southwest to East-northeast,47%,1032,N/A
20210101,10:30,1,Passing clouds,9,Wind blowing from 290° West-northwest to East-southeast,44%,1032,N/A
20210101,11:00,2,Passing clouds,9,Wind blowing from 290° West-northwest to East-southeast,44%,1032,N/A
20210101,11:30,2,Passing clouds,9,Wind blowing from 260° West to East,48%,1031,N/A
20210101,12:00,3,Passing clouds,9,Wind blowing from 240° West-southwest to East-northeast,41%,1031,N/A
20210101,12:30,4,Passing clouds,9,Wind blowing from 240° West-southwest to East-northeast,39%,1030,N/A
20210101,13:00,4,Passing clouds,13,Wind blowing from 230° Southwest to Northeast,30%,1029,N/A
20210101,13:30,4,Passing clouds,13,Wind blowing from 290° West-northwest to East-southeast,30%,1029,N/A
20210101,14:00,4,Sunny,9,Wind blowing from 290° West-northwest to East-southeast,28%,1029,16
20210101,14:30,4,Passing clouds,9,Wind blowing from 260° West to East,28%,1028,N/A
20210101,15:00,4,Passing clouds,6,Wind blowing from 240° West-southwest to East-northeast,28%,1028,N/A
20210101,15:30,5,Passing clouds,6,Wind blowing from 260° West to East,24%,1028,N/A
20210101,16:00,4,Sunny,9,Wind blowing from 280° West to East,26%,1028,16
20210101,16:30,4,Passing clouds,9,Wind blowing from 260° West to East,28%,1028,N/A
20210101,17:00,3,Passing clouds,6,Wind blowing from 280° West to East,28%,1029,N/A
20210101,17:30,3,Clear,6,Wind blowing from 280° West to East,30%,1028,16
20210101,18:00,3,Clear,2,Wind blowing from 0° North to South,30%,1028,16
20210101,18:30,3,Clear,2,Wind blowing from 0° North to South,33%,1028,16
20210101,19:00,2,Clear,2,Wind blowing from 0° North to South,35%,1028,16
20210101,19:30,2,Clear,2,Wind blowing from 240° West-southwest to East-northeast,38%,1029,16
20210101,20:00,1,Clear,2,Wind blowing from 0° North to South,41%,1029,16
20210101,20:30,2,Clear,2,Wind blowing from 0° North to South,35%,1029,16
20210101,21:00,1,Clear,2,Wind blowing from 0° North to South,41%,1029,16
20210101,21:30,0,Clear,2,Wind blowing from 0° North to South,47%,1029,16
20210101,22:00,0,Clear,2,Wind blowing from 0° North to South,55%,1029,16
20210101,23:00,0,Clear,2,Wind blowing from 0° North to South,51%,1030,16
20210102,08:00,0,Sunny,2,Wind blowing from 0° North to South,69%,1030,16
20210102,08:30,1,Passing clouds,6,Wind blowing from 240° West-southwest to East-northeast,60%,1031,N/A
20210102,09:00,3,Passing clouds,9,Wind blowing from 280° West to East,48%,1031,N/A
20210102,09:30,4,Passing clouds,6,Wind blowing from 350° North to South,48%,1031,N/A
20210102,10:00,5,Passing clouds,6,Wind blowing from 330° North-northwest to South-southeast,45%,1031,N/A
20210102,10:30,5,Sunny,2,Wind blowing from 0° North to South,42%,1031,16
20210102,11:00,6,Passing clouds,9,Wind blowing from 320° Northwest to Southeast,39%,1031,N/A
20210102,11:30,6,Passing clouds,9,Wind blowing from 280° West to East,39%,1030,N/A
20210102,12:00,6,Passing clouds,9,Wind blowing from 0° North to South,39%,1030,N/A
20210102,12:30,8,Passing clouds,6,Wind blowing from 310° Northwest to Southeast,34%,1030,N/A
20210102,13:00,7,Passing clouds,9,Wind blowing from 350° North to South,37%,1029,N/A
20210102,13:30,7,Sunny,9,Wind blowing from 0° North to South,37%,1029,16
20210102,14:00,8,Passing clouds,13,Wind blowing from 0° North to South,34%,1029,N/A
20210102,14:30,8,Passing clouds,9,Wind blowing from 30° North-northeast to South-southwest,32%,1029,N/A
20210102,15:00,8,Sunny,17,Wind blowing from 30° North-northeast to South-southwest,34%,1029,16
20210102,15:30,7,Sunny,17,Wind blowing from 40° Northeast to Southwest,31%,1029,16
20210102,16:00,7,Passing clouds,17,Wind blowing from 60° East-northeast to West-southwest,37%,1029,N/A
20210102,16:30,6,Passing clouds,17,Wind blowing from 40° Northeast to Southwest,42%,1029,N/A
20210102,17:00,6,Sunny,9,Wind blowing from 60° East-northeast to West-southwest,46%,1030,16
20210102,17:30,6,Clear,6,Wind blowing from 70° East-northeast to West-southwest,46%,1029,16
20210102,18:00,5,Passing clouds,6,Wind blowing from 80° East to West,53%,1030,N/A
20210102,18:30,5,Clear,6,Wind blowing from 90° East to West,57%,1029,16
20210102,19:00,5,Clear,9,Wind blowing from 90° East to West,61%,1030,16
20210102,19:30,4,Passing clouds,6,Wind blowing from 50° Northeast to Southwest,65%,1031,N/A
20210102,20:00,4,Passing clouds,6,Wind blowing from 60° East-northeast to West-southwest,65%,1031,N/A
