date,time,temperature,weather,wind_speed,wind_direction,humidity,barometer,visibility
20160101,00:00,5,Passing clouds,6,Wind blowing from 70° East-northeast to West-southwest,70%,1035,N/A
20160101,00:30,5,Clear,2,Wind blowing from 0° North to South,70%,1035,16
20160101,01:00,5,Clear,2,Wind blowing from 0° North to South,70%,1034,16
20160101,01:30,4,Clear,6,Wind blowing from 90° East to West,75%,1034,16
20160101,02:00,4,Clear,2,Wind blowing from 90° East to West,75%,1034,16
20160101,02:30,4,Clear,6,Wind blowing from 90° East to West,75%,1034,16
20160101,03:00,5,Clear,9,Wind blowing from 80° East to West,70%,1033,16
20160101,03:30,4,Clear,6,Wind blowing from 80° East to West,75%,1033,16
20160101,04:00,4,Clear,6,Wind blowing from 90° East to West,75%,1033,16
20160101,04:30,2,Clear,0,Wind blowing from 0° North to South,81%,1033,16
20160101,05:00,1,Clear,2,Wind blowing from 210° South-southwest to North-northeast,87%,1033,16
20160101,05:30,2,Clear,0,Wind blowing from 0° North to South,93%,1033,16
20160101,06:30,2,Clear,0,Wind blowing from 0° North to South,87%,1033,16
20160101,07:00,2,Sunny,0,Wind blowing from 0° North to South,87%,1034,16
20160101,07:30,2,Sunny,0,Wind blowing from 0° North to South,87%,1034,16
20160101,08:00,4,Sunny,0,Wind blowing from 0° North to South,81%,1034,16
20160101,08:30,6,Sunny,2,Wind blowing from 0° North to South,71%,1034,16
20160101,09:00,7,Clear,6,Wind blowing from 110° East-southeast to West-northwest,61%,1034,7
20160101,09:30,9,Clear,2,Wind blowing from 0° North to South,54%,1034,7
20160101,10:00,9,Clear,9,Wind blowing from 160° South-southeast to North-northwest,54%,1033,7
20160101,10:30,10,Clear,17,Wind blowing from 140° Southeast to Northwest,50%,1033,8
20160101,11:00,10,Clear,13,Wind blowing from 140° Southeast to Northwest,54%,1032,8
20160101,11:30,11,Passing clouds,17,Wind blowing from 140° Southeast to Northwest,50%,1032,N/A
20160101,13:00,13,Sunny,20,Wind blowing from 190° South to North,44%,1030,16
20160101,13:30,13,Passing clouds,20,Wind blowing from 160° South-southeast to North-northwest,44%,1029,N/A
20160101,14:00,13,Passing clouds,17,Wind blowing from 150° South-southeast to North-northwest,47%,1029,N/A
20160101,14:30,13,Passing clouds,17,Wind blowing from 150° South-southeast to North-northwest,47%,1028,N/A
20160101,15:00,13,Sunny,17,Wind blowing from 180° South to North,51%,1028,16
20160101,15:30,12,Sunny,17,Wind blowing from 170° South to North,51%,1028,16
20160101,16:00,12,Sunny,17,Wind blowing from 140° Southeast to Northwest,54%,1028,16
20160101,16:30,12,Sunny,13,Wind blowing from 140° Southeast to Northwest,54%,1028,16
20160101,17:00,11,Sunny,13,Wind blowing from 150° South-southeast to North-northwest,58%,1028,16
20160101,17:30,11,Clear,9,Wind blowing from 150° South-southeast to North-northwest,58%,1028,16
20160101,18:00,10,Clear,9,Wind blowing from 150° South-southeast to North-northwest,62%,1028,16
20160101,18:30,11,Clear,9,Wind blowing from 150° South-southeast to North-northwest,62%,1028,16
20160101,19:00,10,Clear,9,Wind blowing from 120° East-southeast to West-northwest,67%,1028,16
20160101,19:30,10,Clear,9,Wind blowing from 130° Southeast to Northwest,67%,1027,16
20160101,20:00,10,Clear,13,Wind blowing from 140° Southeast to Northwest,71%,1028,16
20160101,20:30,10,Clear,13,Wind blowing from 120° East-southeast to West-northwest,71%,1027,16
20160101,21:00,10,Clear,6,Wind blowing from 130° Southeast to Northwest,71%,1027,16
20160101,21:30,10,Clear,9,Wind blowing from 130° Southeast to Northwest,71%,1027,16
20160101,22:00,10,Clear,6,Wind blowing from 130° Southeast to Northwest,71%,1027,16
20160101,22:30,10,Passing clouds,6,Wind blowing from 130° Southeast to Northwest,76%,1027,N/A
20160101,23:00,10,Clear,9,Wind blowing from 140° Southeast to Northwest,76%,1026,16
20160101,23:30,10,Clear,13,Wind blowing from 140° Southeast to Northwest,76%,1026,16
20160102,00:00,10,Clear,9,Wind blowing from 150° South-southeast to North-northwest,82%,1026,16
20160102,00:30,10,Clear,6,Wind blowing from 140° Southeast to Northwest,82%,1025,16
20160102,01:00,10,Clear,6,Wind blowing from 140° Southeast to Northwest,82%,1025,16
20160102,01:30,10,Clear,6,Wind blowing from 140° Southeast to Northwest,82%,1025,16
20160102,02:00,10,Clear,6,Wind blowing from 150° South-southeast to North-northwest,82%,1024,7
20160102,02:30,9,Clear,6,Wind blowing from 160° South-southeast to North-northwest,87%,1025,7
20160102,03:00,9,Clear,2,Wind blowing from 140° Southeast to Northwest,87%,1024,6
20160102,03:30,10,Clear,2,Wind blowing from 150° South-southeast to North-northwest,82%,1024,6
20160102,04:00,9,Clear,2,Wind blowing from 160° South-southeast to North-northwest,87%,1024,6
20160102,04:30,9,Clear,6,Wind blowing from 160° South-southeast to North-northwest,87%,1023,6
20160102,05:00,10,Clear,6,Wind blowing from 190° South to North,82%,1024,6
20160102,05:30,10,Clear,6,Wind blowing from 200° South-southwest to North-northeast,82%,1024,6
20160102,06:00,9,Clear,2,Wind blowing from 180° South to North,82%,1023,6
20160102,06:30,9,Clear,2,Wind blowing from 200° South-southwest to North-northeast,82%,1024,6
20160102,07:00,9,Fog,2,Wind blowing from 210° South-southwest to North-northeast,87%,1024,5
20160102,07:30,9,Fog,6,Wind blowing from 200° South-southwest to North-northeast,87%,1024,5
20160102,08:00,10,Fog,2,Wind blowing from 190° South to North,82%,1024,5
20160102,09:00,11,Fog,6,Wind blowing from 240° West-southwest to East-northeast,72%,1025,3
20160102,09:30,12,Haze,6,Wind blowing from 250° West-southwest to East-northeast,63%,1025,3
20160102,10:00,13,Haze,9,Wind blowing from 240° West-southwest to East-northeast,59%,1025,3
20160102,10:30,15,Haze,6,Wind blowing from 220° Southwest to Northeast,51%,1024,3
20160102,11:00,15,Haze,6,Wind blowing from 230° Southwest to Northeast,48%,1023,4
20160102,11:30,16,Haze,9,Wind blowing from 250° West-southwest to East-northeast,45%,1023,5
20160102,12:00,16,Haze,9,Wind blowing from 270° West to East,45%,1023,5
20160102,13:00,17,Clear,13,Wind blowing from 280° West to East,37%,1022,8
20160102,13:30,17,Passing clouds,13,Wind blowing from 300° West-northwest to East-southeast,39%,1021,N/A
20160102,14:00,17,Sunny,17,Wind blowing from 300° West-northwest to East-southeast,39%,1021,16
20160102,14:30,17,Passing clouds,13,Wind blowing from 290° West-northwest to East-southeast,39%,1021,N/A
20160102,15:00,17,Passing clouds,13,Wind blowing from 280° West to East,37%,1021,N/A
20160102,15:30,17,Passing clouds,9,Wind blowing from 270° West to East,37%,1021,N/A
20160102,16:00,16,Passing clouds,9,Wind blowing from 270° West to East,42%,1021,N/A
20160102,16:30,16,Clear,6,Wind blowing from 270° West to East,42%,1021,7
20160102,17:00,15,Clear,6,Wind blowing from 270° West to East,48%,1021,6
20160102,17:30,14,Clear,9,Wind blowing from 320° Northwest to Southeast,44%,1021,7
20160102,18:00,13,Clear,6,Wind blowing from 330° North-northwest to South-southeast,47%,1022,8
20160102,18:30,13,Clear,6,Wind blowing from 10° North to South,44%,1022,8
20160102,19:00,14,Clear,0,Wind blowing from 0° North to South,41%,1022,8
20160102,19:30,14,Clear,2,Wind blowing from 0° North to South,41%,1022,8
20160102,20:00,13,Clear,2,Wind blowing from 0° North to South,47%,1022,8
20160102,20:30,13,Clear,2,Wind blowing from 0° North to South,44%,1022,8
20160102,21:00,13,Clear,2,Wind blowing from 0° North to South,47%,1022,8
20160102,21:30,12,Clear,0,Wind blowing from 0° North to South,51%,1022,8
20160102,22:00,11,Clear,0,Wind blowing from 0° North to South,58%,1022,7
20160102,22:30,12,Clear,2,Wind blowing from 0° North to South,54%,1022,7
20160102,23:00,12,Clear,2,Wind blowing from 0° North to South,54%,1022,7
20160102,23:30,11,Clear,0,Wind blowing from 0° North to South,58%,1021,7
20160103,00:00,10,Clear,0,Wind blowing from 0° North to South,62%,1021,7
